namahotel,deskripsi
Agung Inn,agung inn excellent choice traveler visiting yogyakarta region offering family friendly environment alongside many helpful amenity designed enhance stay agung inn equipped capacity 3 car parking area located front laundry facility 24 hour front desk wi fi public area tourticket assistance available guesthouse hotel 7 room equipped king size bed air conditioning lcd tv desk wifi private bathroom hot shower complimentary breakfast served hotel
Agung Mas Hotel,placed close popular landmark bank indonesia titik 0 kilometer yogyakarta guest hotel agung ma easily experience yogyakarta region well known attraction additionally hotel find many facility service free wi fi dry cleaning laundry service 24 hour front desk luggage storage room offer air conditioning tv getting online possible free wi fi available allowing rest refresh ease guest enjoy free breakfast site restaurant stay hotel agung ma hotel feature room service look around find several dining option nearby like bedhot resto phuket resto cokroaminoto yamie panda chapter ho cokroaminoto etc
AGV Apartment Yogyakarta,property located near hartono mall outdoor pool free self parking available apartment building apartment feature flat screen tv kitchenette refrigerator stovetop amenity include shower desk apartment offer designated smoking area free self parking available onsite front desk property planning arrive 11 00 pm contact property least 24 hour advance using information booking confirmation comfortable air conditioned apartment featuring kitchenette refrigerator stovetop flat screen television provided entertainment nearby attraction hartono mall 2 6 km 1 6 mi plaza ambarrukmo 2 7 km 1 7 mi transmart studio mini 3 1 km 1 9 mi affandi museum 3 3 km 2 mi maguwoharjo stadium 3 5 km 2 2 mi sunan kalijaga state islamic university yogyakarta 3 5 km 2 2 mi jogja bay 3 8 km 2 3 mi museum dirgantara 3 8 km 2 4 mi lippo plaza jogja 3 9 km 2 4 mi yogyakarta state university 4 1 km 2 6 mi siloam hospital yogyakarta 4 3 km 2 7 mi jogja expo center 4 7 km 2 9 mi gadjah mada university 4 8 km 3 mi galeria mall 5 7 km 3 6 mi gembira loka zoo 6 km 3 7 mi nearest airport yogyakarta jog adisucipto intl 5 6 km 3 5 mi surakarta soc adisumarmo intl 57 6 km 35 8 mi
Airlangga Yogyakarta,airlangga hotel bulit 1969 1970 pioneer hotel industry prawirotaman area later location known kampung bule airlangga hotel 40 room categorized 3 kind room deluxe ambassador family 18 room deluxe 15 room ambassador 4 room family room facilitated air conditioner hot cold water tv antique indonesian furniture room equipped wardrobe wash hand basin private bath room shower hot water bath tub television telephone fan air conditioning location close city centertourists rent motor bike store next door cruising around city affordable price plenty restaurant bar close hotel hotel provide restaurant pub guest unlike hotel close malioboro offer quite relax situation perfect tourist get away daily routine stress offer great environment friendly staff wifi free connection lot sun shine foreigner ed sun bathing relax side swimming pool furthermore hotel close atm center tourist worried run cash direction get therehotel airlangga located jalan prawirotaman 6 8 yogyakarta 20 minute driving airport 10 minute city 30 minute beach
Alam Jogja Resort,property located near jogja bay along water park surcharge smoke free hotel restaurant conference center free wifi public area free self parking provided additionally 24 hour room service meeting room concierge service onsite 11 individually decorated room feature free wifi 24 hour room service bit entertainment guest find flat screen tv cable channel amenity include premium bedding coffee r advantage recreation opportunity water park surcharge view terrace garden hotel feature complimentary wireless internet access concierge service wedding service featured amenity include express check complimentary newspaper lobby dry cleaninglaundry service event facility hotel consist conference center meeting room guest use roundtrip airport shuttle surcharge free self parking available onsite home one 11 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment convenience include phone well desk coffeetea r satisfy appetite lunch dinner hotel restaurant stay advantage 24 hour room service complimentary breakfast included nearby attraction jogja bay 0 5 km 0 3 mi maguwoharjo stadium 0 6 km 0 4 mi hartono mall 4 4 km 2 7 mi sambisari temple 4 6 km 2 9 mi transmart studio mini 5 6 km 3 5 mi yogyakarta state university 6 9 km 4 3 mi gadjah mada university 7 4 km 4 6 mi museum dirgantara 7 5 km 4 7 mi galeria mall 8 1 km 5 mi jogja city mall 8 6 km 5 4 mi plaza ambarrukmo 8 7 km 5 4 mi candi sari 9 km 5 6 mi yogya kembali monument 9 1 km 5 7 mi sasana among rogo 9 2 km 5 7 mi affandi museum 9 2 km 5 7 mi nearest airport yogyakarta jog adisucipto intl 6 9 km 4 3 mi surakarta soc adisumarmo intl 59 km 36 6 mi
Alfa Student Castle Apartment,property located near plaza ambarrukmo along outdoor pool hotel fitness center free self parking room offer electric kettle lcd tv cable channel free bottled water shower desk free toiletry among amenity guest find enjoy recreational amenity outdoor pool fitness center free self parking available onsite front desk property arrangement check contact property ahead time using information booking confirmation home one air conditioned room featuring lcd television cable television provided entertainment bathroom shower complimentary toiletry convenience include desk electric kettle nearby attraction plaza ambarrukmo 1 7 km 1 1 mi affandi museum 2 3 km 1 4 mi transmart studio mini 2 3 km 1 4 mi sunan kalijaga state islamic university yogyakarta 2 6 km 1 6 mi hartono mall 2 6 km 1 6 mi museum dirgantara 2 8 km 1 8 mi lippo plaza jogja 3 km 1 8 mi siloam hospital yogyakarta 3 3 km 2 1 mi yogyakarta state university 3 4 km 2 1 mi jogja expo center 3 7 km 2 3 mi maguwoharjo stadium 4 2 km 2 6 mi galeria mall 4 3 km 2 7 mi jogja bay 4 4 km 2 7 mi gembira loka zoo 4 5 km 2 8 mi gadjah mada university 4 6 km 2 9 mi nearest airport yogyakarta jog adisucipto intl 4 8 km 3 mi surakarta soc adisumarmo intl 56 8 km 35 3 mi
Aliya Hostel Yogyakarta,property located near malioboro street along 24 hour room service smoke free hostel concierge service 24 hour front desk free breakfast local cuisine free wifi public area free self parking provided additionally free newspaper tourticket assistance garden onsite 26 shared room feature free wifi 24 hour room service guest find free bottled water desk view terrace garden use amenity complimentary wireless internet access featured amenity include complimentary newspaper lobby 24 hour front desk safe deposit box front desk free self parking available onsite home one 26 air conditioned guestroom complimentary wireless internet access available keep connected convenience include desk complimentary bottled water housekeeping provided daily advantage hostel 24 hour room service complimentary local cuisine breakfast served daily 6 am 9 30 am nearby attraction sasana among rogo 0 4 km 0 3 mi kota gede 1 2 km 0 8 mi batik museum 1 3 km 0 8 mi pakualaman palace 1 8 km 1 1 mi faculty industrial technology 1 8 km 1 1 mi siloam hospital yogyakarta 1 8 km 1 1 mi lippo plaza jogja 1 9 km 1 2 mi museum sasmitaloka panglima besar jenderal sudirman 2 km 1 2 mi sunan kalijaga state islamic university yogyakarta 2 2 km 1 3 mi galeria mall 2 3 km 1 4 mi gembira loka zoo 2 3 km 1 4 mi affandi museum 2 4 km 1 5 mi jogja expo center 2 6 km 1 6 mi pasar beringharjo 2 7 km 1 7 mi senopati 2 7 km 1 7 mi nearest major airport yogyakarta jog adisucipto intl 7 5 km 4 7 mi
Allstay Hotel Yogyakarta,property located near gadjah mada university along restaurant hotel massagetreatment room concierge service free wifi public area free valet parking provided additionally dry cleaning laundry facility 24 hour front desk onsite 83 room offer free wifi room service led tv cable channel free bottled water laptop compatible safe shower among amenity guest find pamper onsite body treatment view terrace hotel feature complimentary wireless internet access concierge service featured amenity include dry cleaninglaundry service 24 hour front desk luggage storage roundtrip airport shuttle provided surcharge available 24 hour free valet parking available onsite 24 hour airport shuttle service available fee apply contact property advance get detail home one 83 air conditioned room featuring led television complimentary wireless internet access keep connected cable programming available entertainment private bathroom shower feature complimentary toiletry slipper convenience include laptop compatible safe desk housekeeping provided daily satisfy appetite lunch dinner picasso restaurant specializes international cuisine stay advantage room service limited hour nearby attraction plaza ambarrukmo 1 4 km 0 9 mi affandi museum 1 5 km 0 9 mi sunan kalijaga state islamic university yogyakarta 1 8 km 1 1 mi hartono mall 2 1 km 1 3 mi lippo plaza jogja 2 2 km 1 4 mi yogyakarta state university 2 3 km 1 4 mi siloam hospital yogyakarta 2 5 km 1 6 mi transmart studio mini 3 km 1 9 mi gadjah mada university 3 2 km 2 mi museum dirgantara 3 5 km 2 1 mi galeria mall 3 5 km 2 2 mi jogja expo center 3 9 km 2 4 mi sasana among rogo 4 3 km 2 7 mi kota gede 4 4 km 2 7 mi gembira loka zoo 4 4 km 2 8 mi nearest airport yogyakarta jog adisucipto intl 5 7 km 3 5 mi surakarta soc adisumarmo intl 57 7 km 35 9 mi
Almaidah Homestay,property located near gadjah mada university along free breakfast smoke free guesthouse free self parking free wifi public area room feature free wifi lcd tv free bottled water guest find shower free toiletry free self parking available onsite front desk property arrangement check contact property ahead time using information booking confirmation home one air conditioned room featuring lcd television complimentary wireless internet access available keep connected bathroom shower complimentary toiletry complimentary local cuisine breakfast served daily 6 00 am 10 00 am nearby attraction gadjah mada university 1 9 km 1 2 mi yogya kembali monument 1 9 km 1 2 mi yogyakarta state university 2 5 km 1 6 mi jogja city mall 2 6 km 1 6 mi hartono mall 3 km 1 9 mi malioboro street 3 2 km 2 mi galeria mall 3 3 km 2 mi yogyakarta monument 3 3 km 2 1 mi siloam hospital yogyakarta 3 8 km 2 4 mi lippo plaza jogja 4 1 km 2 5 mi kota gede 4 4 km 2 7 mi sunan kalijaga state islamic university yogyakarta 4 5 km 2 8 mi affandi museum 4 5 km 2 8 mi malioboro mall 4 6 km 2 9 mi batik museum 4 7 km 2 9 mi nearest airport yogyakarta jog adisucipto intl 9 7 km 6 mi surakarta soc adisumarmo intl 61 8 km 38 4 mi preferred airport almaidah homestay yogyakarta jog adisucipto intl
Aloha hotel Yogyakarta,aloha hotel yogyakarta one best option yogyakarta whether business trip leisure 5 minute drive vibrant malioboro street accommodation surrounded many dining optionsa shopping place hotel find staff 24 hour front desk arrange airport transfer area shuttle car rental guest travel need laundry service offered room fitted flat screen cable tv shower toiletry available private bathroom seating area second floor terrace
