namahotel,deskripsi
Hotel Sewu Mas,property located near jogja city mall restaurant laundry facility 24 hour front desk available hotel free wifi public area free self parking provided amenity include tourticket assistance free breakfast 20 room provide free wifi room service led tv amenity available guest include free bottled water shower desk use convenient amenity include complimentary wireless internet access tourticket assistance featured amenity include 24 hour front desk luggage storage laundry facility free self parking available onsite home one 20 air conditioned room featuring led television complimentary wireless internet access available keep connected bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided daily satisfy appetite lunch dinner restaurant specializes international cuisine stay advantage room service limited hour complimentary breakfast included nearby attraction yogya kembali monument 0 9 km 0 6 mijogja city mall 2 3 km 1 4 mi gadjah mada university 2 8 km 1 8 mi hartono mall 3 2 km 2 mi yogyakarta state university 3 6 km 2 2 mi malioboro street 4 1 km 2 6 mi yogyakarta monument 4 3 km 2 6 mi galeria mall 4 3 km 2 7 mi siloam hospital yogyakarta 4 9 km 3 mi malioboro mall 6 1 km 3 8 mibringharjo market6 7 km 4 1 mi kota gede 6 8 km 4 2 mi pasar beringharjo 6 8 km 4 2 mi fort vredeburg museum 6 8 km 4 2 mi gedung agung 6 8 km 4 2 mi nearest airport yogyakarta jog adisucipto intl 11 1 km 6 9 mi surakarta soc adisumarmo intl 63 2 km 39 3 mi
Hotel Star 88,hotel star 88 placed 3 3 km bringharjo market sleman hotel provides comfort whether business holiday yogyakarta hotel offer guest range service amenity like 24 hour security 24 hour front desk luggage storage wi fi public area facility offered room hotel star 88 feature wi fi climate control laptop safe tv ironing facility private bathroom come shower bath sheet toiletry room non smoking restaurant available hotel accommodation surrounded many dining option business need hotel already provided meeting room photocopy go sightseeing many place like monument museum shopping enthusiast go shopping malioboro mall galleria mall located 4 km hotel
Hotel Supra Jaya,property located yogyakarta central yogyakarta 24 hour front desk free self parking free wifi public area available smoke free hotel 26 room offer free wifi tv view terrace use amenity complimentary wireless internet access free self parking available onsite home one 26 air conditioned guestroom complimentary wireless internet access available keep connected nearby attraction museum sasana wiratama 0 6 km 0 4 mi malioboro street 1 5 km 1 mi malioboro mall 1 8 km 1 1 mi yogyakarta monument 2 1 km 1 3 mi bringharjo market 2 1 km 1 3 mi pasar beringharjo 2 2 km 1 4 mi yogyakarta presidential palace 2 3 km 1 4 mi fort vredeburg museum 2 3 km 1 4 mi gedung agung 2 3 km 1 4 mi senopati 2 3 km 1 5 mi sonobudoyo museum 2 7 km 1 6 mi taman pintar science park 2 7 km 1 7 mi museum kereta kraton 2 8 km 1 7 mi palace yogyakarta 2 8 km 1 7 mi kota gede 2 9 km 1 8 mi preferred airport hotel supra jaya yogyakarta jog adisucipto intl 10 3 km 6 4 mi
Hotel Tentrem Yogyakarta,n javanese culture word tentrem refers feeling peacefulness tranquility broader meaning tentrem embrace concept harmony universe mankind concocting perfect serenity taking different path hotel tentrem proud independent hotel focus become culture guide action toward service believe every individual unique thus value every expression aspiration contribution better serve whether business leisure luxurious suite inspired interior state art facility thoughtful amenity create unforgettable experience living harmony designed creative mind profession built finest people industry manage passionate hotelier finally begun journey serve hotel tentrem yogyakarta offer 273 heavenly accommodation combination modern traditional javanese style ranging 40 273 square meter two type room deluxe premiere four type suite executive prambanan kraton wijaya kusuma suite tentrem eboni bar lounge offer snack large selection specialty coffee tea casual yet cutting edge atmosphere elegant setting great meeting business personal sure try finest gourmet coffee grand duck king chinese restaurant extraordinary dining experience impeccably delicious dish evolving biggest chain chinese restaurant named duck king offering 400 variety oriental culinary best meet taste guest free use swimming pool gym try rejuvenate gaharu spa hotel host lumpang art gallery playground available younger guest
Hotel Tiger Yogyakarta,property located near transmart studio mini nearby attraction transmart studio mini 0 8 km 0 5 imuseum dirgantara 2 6 km 1 6 mi plaza ambarrukmo 2 9 km 1 8 mi affandi museum 3 5 km 2 2 mi sunan kalijaga state islamic university yogyakarta 3 7 km 2 3 mi lippo plaza jogja 4 1 km 2 5 mi jogja expo center 4 3 km 2 7 mi maguwoharjo stadium 4 3 km 2 7 mi siloam hospital yogyakarta 4 3 km 2 7 mi adisucipto golf course 4 4 km 2 7 mi jogja bay 4 5 km 2 8 mi sambisari temple 4 6 km 2 8 mi hartono mall 5 3 km 3 3 mi galeria mall 6 4 km 3 9 mi gembira loka zoo 6 6 km 4 1 mi nearest airport yogyakarta jog adisucipto intl 2 4 km 1 5 mi surakarta soc adisumarmo intl 54 8 km 34 mi
Hotel Vala Yogyakarta,ideally located prime touristic area depok hotel vala yogyakarta promise relaxing wonderful visit featuring complete list amenity guest find stay property comfortable one room designed decorated guest feel right home room come internet access wireless complimentary non smoking room air conditioning television shower halal breakfast served every morning accommodation enhance guest stay hotel offer recreational facility garden friendly staff great facility close proximity yogyakarta offer three great reason stay hotel vala yogyakarta
Hotel Vidi 1,property located near gadjah mada university along 24 hour room service hotel dry cleaning laundry facility free wifi public area free self parking provided amenity include 24 hour front desk free newspaper tv common area 13 room offer free wifi 24 hour room service flat screen tv satellite channel amenity available guest include free bottled water shower desk use convenient amenity include complimentary wireless internet access television common area featured amenity include complimentary newspaper lobby dry cleaninglaundry service 24 hour front desk free self parking available onsite stay one 13 guestroom featuring flat screen television complimentary wireless internet access keep connected satellite programming available entertainment bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided daily advantage hotel 24 hour room service nearby attraction gadjah mada university 1 5 km 1 mi yogya kembali monument 2 1 km 1 3 mi yogyakarta state university 2 2 km 1 4 mi hartono mall 2 7 km 1 7 mi jogja city mall 3 km 1 8 mi galeria mall 3 km 1 8 mi malioboro street 3 5 km 2 2 mi siloam hospital yogyakarta 3 5 km 2 2 mi yogyakarta monument 3 6 km 2 2 mi lippo plaza jogja 3 7 km 2 3 mi kota gede 4 1 km 2 5 mi sunan kalijaga state islamic university yogyakarta 4 2 km 2 6 mi affandi museum 4 2 km 2 6 mi malioboro mall 4 3 km 2 7 mi batik museum 4 4 km 2 7 mi nearest airport yogyakarta jog adisucipto intl 9 4 km 5 9 mi surakarta soc adisumarmo intl 61 5 km 38 2 mi
Hotel Vidi 2,property located near gadjah mada university restaurant 24 hour room service dry cleaning available hotel free wifi public area free self parking provided amenity include 24 hour front desk 18 room offer free wifi 24 hour room service tv satellite channel shower desk available guest use convenient amenity include complimentary wireless internet access concierge service featured amenity include complimentary newspaper lobby dry cleaninglaundry service 24 hour front desk free self parking available onsite home one 18 air conditioned guestroom complimentary wireless internet access keep connected satellite programming available entertainment bathroom shower provided convenience include desk housekeeping provided daily rollawayextra bed surcharge requested enjoy meal restaurant stay advantage hotel 24 hour room service nearby attraction gadjah mada university 1 5 km 1 mi yogya kembali monument 2 2 km 1 4 miyogyakarta state university 2 2 km 1 4 mi hartono mall 2 8 km 1 7 mi jogja city mall 2 8 km 1 8 mi galeria mall 3 km 1 8 mi malioboro street 3 3 km 2 1 mi yogyakarta monument 3 5 km 2 2 mi siloam hospital yogyakarta 3 5 km 2 2 mi lippo plaza jogja 3 8 km 2 3 mi kota gede 4 1 km 2 5 mi sunan kalijaga state islamic university yogyakarta 4 2 km 2 6 mi affandi museum 4 2 km 2 6 mi batik museum 4 4 km 2 8 mi plaza ambarrukmo 4 7 km 2 9 mi nearest airport yogyakarta jog adisucipto intl 9 4 km 5 9 mi surakarta soc adisumarmo intl 61 5 km 38 2 mi
Hotel Winotosastro Garden,offering green experience traditional atmosphere hospitality style situated mantirejon accommodation step alun alun kidul yogyakarta property feature wide range facility like parking 24 hour front desk meeting facility wi fi public area standard deluxe family room property equipped terrace air conditioner television refrigerator telephone wi fi mineral water bathroom feature shower unit come bathtub taste variety food site restaurant
House 140 Yogyakarta,house 140 yogyakarta ideal place stay comfort clean accommodation affordable place come several type room like standard premium deluxe family room room feature tv queen bed size desk private bathroom whether air conditioning fan available certain unit selection local cuisine available within 3 minute walk house 140 staff happy give information attraction eatery souvenir shop nearby accommodation close number sight like prambanan temple taman sari malioboro many free wi fi car park provided
House 24 Yogyakarta,property located near palace yogyakarta guesthouse feature free self parking room offer free wifi free self parking available onsite complimentary wireless internet access available keep connected nearby attraction masjid jogokariyan 0 1 km 0 1 mi batik plentong 0 9 km 0 5 mi lana gallery 1 km 0 6 mi alun alun kidul 1 8 km 1 1 mi sasono hinggil 1 9 km 1 2 mi water castle tamansari 2 3 km 1 4 mi kampoeng cyber 2 4 km 1 5 mi gumuling well 2 5 km 1 5 mi kraton complex 3 2 km 2 mi museum kereta kraton 3 2 km 2 mi taman pintar science park 3 3 km 2 mi palace yogyakarta 3 3 km 2 1 mi sonobudoyo museum 3 4 km 2 1 mi malioboro street 3 5 km 2 2 mi senopati 3 6 km 2 2 mi nearest major airport yogyakarta jog adisucipto intl 12 9 km 8 mi
House of Moedjito,property located near malioboro street smoke free guesthouse feature microwave common area refrigerator common area laundry facility free wifi public area free self parking provided additionally 24 hour front desk garden onsite 6 room provide convenience like washing machine refrigerator plus free wifi led tv guest find microwave stovetops electric kettle view terrace garden use amenity complimentary wireless internet access featured amenity include 24 hour front desk luggage storage laundry facility guest use roundtrip airport shuttle surcharge free self parking available onsite front desk property planning arrive midnight contact property advance using information booking confirmation home one 6 air conditioned room featuring refrigerator led television prepare meal sharedcommunal kitchen complimentary wireless internet access available keep connected private bathroom shower feature complimentary toiletry slipper nearby attraction siloam hospital yogyakarta 0 3 km 0 2 mi lippo plaza jogja 0 5 km 0 3 mi galeria mall 1 km 0 6 mi sunan kalijaga state islamic university yogyakarta 1 1 km 0 7 mi affandi museum 1 1 km 0 7 mi yogyakarta state university 1 5 km 0 9 mi plaza ambarrukmo 1 7 km 1 mi kota gede 1 8 km 1 1 mi sasana among rogo 2 1 km 1 3 mi batik museum 2 2 km 1 3 mi malioboro street 2 2 km 1 4 mi yogyakarta monument 2 4 km 1 5 mi gadjah mada university 2 5 km 1 5 mi pakualaman palace2 9 km 1 8 mi museum sasmitaloka panglima besar jenderal sudirman 3 1 km 2 mi nearest major airport yogyakarta jog adisucipto intl 6 5 km 4 1 mi
HOZ Bed and Breakfast - Hostel,property located near malioboro street dry cleaning laundry facility library available hostel free wifi public area free self parking provided amenity include tourticket assistance garden 4 room offer free wifi shower free toiletry view terrace garden use amenity complimentary wireless internet access featured amenity include dry cleaninglaundry service luggage storage laundry facility free self parking available onsite front desk open daily 7 am 11 pm home one 4 guestroom complimentary wireless internet access available keep connected bathroom shower complimentary toiletry nearby attraction kampoeng cyber 0 9 km 0 6 mi water castle tamansari 1 km 0 6 mi gumuling well 1 2 km 0 8 mi sasono hinggil 1 4 km 0 9 mi batik plentong 1 4 km 0 9 mi alun alun kidul 1 5 km 0 9 mi masjid jogokariyan 1 8 km 1 1 mi kraton complex 2 1 km 1 3 mi museum kereta kraton 2 1 km 1 3 mi palace yogyakarta 2 2 km 1 4 mi lana gallery 2 2 km 1 4 mi sonobudoyo museum 2 4 km 1 5 mi malioboro street 2 4 km 1 5 mi yogyakarta presidential palace 2 7 km 1 7 mi fort vredeburg museum 2 7 km 1 7 mi nearest major airport yogyakarta jog adisucipto intl 13 km 8 1 mi
Huiz De Rico Guesthouse,huiz de rico hotel popular choice amongst traveler yogyakarta whether exploring passing hotel offer guest range service amenity designed provide comfort convenience desk separate shower tub television lcdplasma screen internet access wireless found selected guestroom set leafy road near shop eatery humble hotel 10 minute walk affandi museum 3 km gembira loka zoo necessary facility including bicycle rental smoking area airport transfer room service laundry service hand friendly staff great facility close proximity yogyakarta offer three great reason stay huiz de rico hotel
Hyatt Regency Yogyakarta,5 star hotel yogyakarta hyatt regency yogyakarta boast total 269 guest room array utmost amenity guest welcomed friendly lobby 24 hour reception check service well hotel safe site facility include game room tv lounge bar restaurant conference facility internet access room laundry service provided additional charge guest arriving car leave vehicle nearby car park hotel offer complimentary shuttle service city center guest room feature view exquisite garden come en suite bathroom black marble bath shower hairdryer furthermore room feature separate work area double king size bed direct dial telephone satellite cable tv guest enjoy amenity including morning newspaper high speed internet access safe tea coffee making facility well minibar additional facility include individually regulated air conditioning balcony terrace guest daily continental breakfast buffet restaurant serf la carte set menu lunch dinner additional buffet served evening restaurant feature open show kitchen wood burning pizza oven guest refreshing dip outdoor swimming pool child swimming pool sunbath poolside work gym play tennis unwind sauna hot tub massage spa treatment furthermore poolside bar available purchase refreshment additional fee staying enjoy golf local golf course child enjoy hotel entertainment program plenty time game playroom napping room
Ibis Malioboro,ibis malioboro caters business traveler well tourist enjoy discover cultural treasure central java service complete business center meeting room equipped broadband internet access total 148 guest room air conditioned hotel welcome guest lobby 24 hour reception check service hotel safe currency exchange facility lift access guest enjoy use tv lounge bar restaurant additional fee guest advantage room laundry service arriving car leave vehicle car park room feature modern spacious comfortable bright design cozy double king size bed functional private bathroom shower hairdryer international standard amenity guarantee guest satisfaction stay room fitted direct dial telephone satellitecable tv tea coffee making facility well minibar air conditioning individually regulated ensure guest comfort breakfast served every day form buffet buffet la carte available lunch dinner guest refreshing dip main outdoor swimming pool sunbath poolside keep body shape enjoy workout hotel gym hotel provides child swimming area poolside snack bar furthermore pamper massage spa treatment sauna
Ibis Styles Yogyakarta,ibis style yogyakarta ideally located malioboro district within walking distance designed colorful pop concept s leisure great business traveler fancy different ambience hospitality visit famous sultan palace yogyakarta heritage around palace 5 minute away hotel hotel offer 112 room consist 109 superior room 3 family room warm welcoming modern comfortable bed practical bathroom room bring coziness comfort free wifi internet free 32 lcd tv cable channel ipod dock safety box tea coffee r 6 30 10am 11am weekend ibis style breakfast give energy needed start day right foot colour restaurant providing cool colorful dining experience including indonesian favorite well international dish buffet breakfast available 6am 10pm lobby bar serving range spirit beer wine cool cocktail well refreshment snack decorated colorful contemporary modern art lobby bar perfect venue casual gathering sky bar cozy atmosphere colorful modern decoration contemporary furniture view beautiful yogyakarta skyline sky bar provides perfect experience day night direction get therefrom adi sucipto airportgo city centre heading straight jalan jend sudirman jalan solo turn left jalan pangeran mangkubumi follow road heading jalan malioboro cross road jalan ahmad yani turn right jalanpajeksan turn right jalan jogonegaraan
ibis Yogyakarta - Adi Sucipto,ibis yogyakarta adi sucipto close airport shopping mall famous tourist attraction new hotel ideal getaway yogyakarta enjoy lavish modern standard room equipped new ibis bedding king size 32 inch led tv room safe bathroom shower hairdryer free wifi room feature flat screen tv wide choice channel comfy sweet bedtm innovative ibis bedding ensure great night sleep kitchen wok offer eat breakfast tasty meal hotel complete facility gym spa meeting room s 5 minute walk nearest shopping mall watch movie cinema borobudur temple accessible within 45 minute prambanan temple 30 minute enjoy various street food stall spread adi sucipto street
Indies Heritage Hotel Jogjakarta,whether one night extended stay every guest need home away home indie heritage hotel prawirotaman jogjakarta provides much offering modern heritage concept hotel set within one city recognizable historic area prawirotaman iconic spot foreigner around corner property spacious room set tandem modern amenity led cable tv individually controlled air conditioner mini bar free wi fi coffee tea making facility idd telephone room safe deposit box hairdryer en suite bathroom shower facility laundry service available upon request experience full course meal breakfast lunch dinner indie heritage hotel restaurant outdoor swimming pool available hotel
Indoluxe Hotel Jogjakarta,indoluxe hotel jogjakarta one true business hotel warm atmosphere modern environment facility provide pleasant accommodation anyone looking peace rest long flight busy day work decorated warm colour air conditioned room fitted flat screen tv safety deposit box desk minibar refrigerator provided en suite bathroom come shower hairdryer slipper guest enjoy city pool mountain view gandhiva restaurant serf fine selection western indonesian chinese food light snack refreshing beverage enjoyed nirvana sky lounge amerta lounge panoramic lounge alternatively guest find various dining option within 5 minute walk hotel hotel feature sky pool guest workout gym enjoy relaxing treatment spa wellness centre friendly staff indoluxe hotel jogjakarta happy assist airport transfer additional charge
Indoluxe Rent Apartment Jogja,property located near hartono mall hotel feature restaurant outdoor pool 24 hour front desk self parking free 100 room offer free wifi room service flat screen tv cable channel amenity available guest include electric kettle free bottled water shower hotel offer designated smoking area hotel 2 meeting room available event free self parking available onsite property offer hour check guest arriving late able check next morning home one 100 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include desk electric kettle housekeeping provided daily restaurant food enjoy meal restaurant stay advantage hotel room service limited hour local cuisine breakfast available daily 6 30 am 10 am fee nearby attraction hartono mall 2 5 km 1 5 mi plaza ambarrukmo 2 7 km 1 7 mi transmart studio mini 2 8 km 1 8 mi maguwoharjo stadium 3 1 km 1 9 mi affandi museum 3 3 km 2 1 mi jogja bay 3 3 km 2 1 mi sunan kalijaga state islamic university yogyakarta 3 6 km 2 2 mi museum dirgantara 3 7 km 2 3 mi lippo plaza jogja 4 km 2 5 mi yogyakarta state university 4 2 km 2 6 mi jogja expo center 4 2 km 2 6 mi siloam hospital yogyakarta 4 3 km 2 7 mi gadjah mada university 4 8 km 3 mi galeria mall 5 8 km 3 6 mi sambisari temple 6 km 3 7 mi nearest airport yogyakarta jog adisucipto intl 5 6 km 3 5 mi surakarta soc adisumarmo intl 57 7 km 35 8 mi
INNSiDE by Melia Yogyakarta,property located near sambisari temple 2 restaurant outdoor pool 2 barslounges available smoke free hotel free wifi public area free self parking provided additionally fitness center poolside bar coffee shopcaf onsite 242 room provide free wifi 24 hour room service led tv refrigerator minibar free bottled water among amenity available guest enjoy recreational amenity outdoor pool fitness center additional feature hotel include complimentary wireless internet access concierge service wedding service featured amenity include complimentary newspaper lobby dry cleaninglaundry service 24 hour front desk surcharge guest use roundtrip airport shuttle available 24 hour train station pick service 24 hour airport shuttle service available request fee apply contact property advance arrangement credit card used book reservation must presented cardholder check along matching photo identification detail contact property using information reservation confirmation received booking home one 242 air conditioned room featuring refrigerator led television complimentary wireless internet access available keep connected private bathroom shower feature complimentary toiletry hair dryer convenience include safe desk housekeeping provided daily grab bite eat one hotel 2 restaurant stay advantage 24 hour room service snack available coffee shopcaf relax refreshing drink poolside bar one 2 barslounges buffet breakfast available daily 6 00 am 10 00 am fee nearby attraction transmart studio mini 2 9 km 1 8 mi sambisari temple 3 1 km 1 9 mi maguwoharjo stadium 3 2 km 2 mi jogja bay 3 4 km 2 1 mi museum dirgantara 3 7 km 2 3 mi hartono mall 4 1 km 2 5 mi adisucipto golf course 5 km 3 1 mi plaza ambarrukmo 5 2 km 3 2 mi affandi museum 5 8 km 3 6 mi sunan kalijaga state islamic university yogyakarta6 km 3 7 mi lippo plaza jogja 6 4 km 4 mi jogja expo center 6 5 km 4 1 mi siloam hospital yogyakarta 6 6 km 4 1 mi kalasan temple 7 5 km 4 7 mi candi kalasan 7 6 km 4 7 mi nearest airport yogyakarta jog adisucipto intl 3 2 km 2 mi surakarta soc adisumarmo intl 55 3 km 34 4 mi preferred airport innside melia yogyakarta yogyakarta jog adisucipto intl
Ipienk House,designed open air dining living area ipienk house promise wonderful stay guest featuring precisely seven room distinctive private swimming pool sitting area wide range book collection ready accompany loosen time supreme level warmth hospitality personal service ready serve 24 hour every day room free wireless internet room safe cable tv demand movie iron ironing board sofa ipienk house guest house apartment room elegant furniture marble floor en suite bathroom offer hairdryer free toiletry bath sheet site restaurant serf selection western indonesian food kitchen amenity feature electric kettle fridge available ipienk house find library terrace relaxing friendly staff help arrange car hire facility offered property include concierge service luggage storage laundry facility laundry dry cleaning service available additional charge property offer free parking
Istana Batik Ratna Hotel,featuring javanese atmosphere istana batik ratna yogyakarta boast hotel staff ready assist guest throughout stay hotel one comfortable 2 star hotel yogyakarta istana batik ratna hotel room furnished practical room amenity meet 2 star rating hotel standard indonesia one popular destination asia thanks many interesting venue tourist historical site natural attraction situated yogyakarta one famous attraction indonesia hotel istana batik ratna yogyakarta offer traveler great time holiday hotel istana batik ratna boast room suite type deluxe super deluxe room feature balinese style furnishing fitted private bathroom shower bathtub hairdryer besides equipped cable tv internet access minibar individually regulated air conditioning breakfast served morning midday evening meal enjoyed set menu hotel feature outdoor swimming pool guest soak sunbath poolside
Jambuluwuk Malioboro,jambuluwuk malioboro boutique hotel unique boutique hotel 144 lavish spacious room offering modern concept mix traditional touch hotel 5 star service facility perfectly suit busy traveler well group gathering extensive conference meeting preserving environment hotel support green hotel concept featuring hotel facility support recycle green lifestyle modern room fitted flat screen cable tv personal safe teacoffee making facility en suite bathroom come toiletry hairdryer jambuluwuk coffee shop batik lounge open breakfast lunch dinner serf indonesian international food hotel provides recreational facility ensure guest relax unwind stay name facility swimming pool spa gym library karaoke j store
Java Land Hotel,java land hotel hotel boast convenience comfort javanese style hospitality yogyakarta city rich culture diversity offer modern comfort 24 hour front desk free site parking wi fi accessible free area room decorated combination javanese wooden architecture modern minimalist furnishing fully air conditioned room java land hotel come fitted cable tv coffee tea making facility refrigerated mini bar seating area desk included en suite bathroom offer shower facility laundry service available upon request breakfast served morning serving indonesian buffet
Java Village Resort,property located near sleman city hall hotel feature restaurant outdoor pool seasonal outdoor pool free wifi public area free self parking provided additionally free use bicycle 24 hour front desk express check onsite 88 room offer free wifi balcony patio led tv cable channel room service electric kettle free bottled water among amenity available guest advantage recreation opportunity outdoor pool view terrace garden hotel feature complimentary wireless internet access fireplace lobby featured amenity include express check 24 hour front desk luggage storage hotel 5 meeting room available event roundtrip airport shuttle provided surcharge available 24 hour free self parking available onsite planning arrive midnight contact property least 24 hour advance using information booking confirmation 24 hour airport shuttle service available request fee apply contact property advance arrangement home one 88 air conditioned room featuring led television room private balcony patio complimentary wireless internet access keep connected cable programming available entertainment private bathroom complimentary toiletry hair dryer enjoy satisfying meal jaerung serving guest java village resort cooked order breakfast available daily 6 am 10 am fee nearby attraction sleman city hall 2 2 km 1 3 mi jogja city mall 5 3 km 3 3 mi yogya kembali monument 5 9 km 3 7 mi islamic university indonesia 9 km 5 6 mi gadjah mada university 9 4 km 5 8 mi malioboro street 9 6 km 6 mi yogyakarta monument 9 7 km 6 mi maguwoharjo stadium 9 8 km 6 1 mi jogja bay 10 2 km 6 3 mi hartono mall 10 3 km 6 4 mi yogyakarta state university 10 5 km 6 5 mi museum sasana wiratama 10 9 km 6 8 mi malioboro mall 11 1 km 6 9 mi bringharjo market 11 7 km 7 3 mi pasar beringharjo 11 9 km 7 4 mi nearest airport yogyakarta jog adisucipto intl 16 5 km 10 3 mi surakarta soc adisumarmo intl 68 6 km 42 6 mi preferred airport java village resort yogyakarta jog adisucipto intl
Java Villas Boutique Hotel,welcome java villa hotel flawlessly combine colonial elegance traditional java style plus perfectly located central tourist village prawirotama regularly praised impeccable service elegantly appointed room vibrant atmosphere guest invited enjoy spectacular view unique hotel interior room feature spacious layout meet need busy well traveled guest hand picked modern yet comfortable furniture selection private antique collection designer furniture intimate lighting offer balance well spacious bathroom lined complete amenity complimentary continental breakfast served every morning quiet interior s excellent locale business meeting romantic dinner restaurant enjoy ninghtlife bar enjoy time comfort private swimming pool
Jentra Dagen,hotel jentra dagen perfect choice family getaway historical city jogjakarta culture traditional attraction mingle unique way hotel jentra dagen incorporate dynamic modern architecture friendly service several supporting facility hotel jentra dagen strategically located heart jogjakarta easily find shopping attraction culture tourism food festival accommodation hotel boast room category namely superior deluxe family executive hardwood flooring floor ceiling window feature throughout modern guestroom design resting body king size twin bed room equipped mini bar free wi fi tv cable channel phone line coffee tea r electronic key card newspaper bathroom hot cold water setting amenity upgraded room add safety deposit box extra bed room service available jentra ragen offer continental breakfast day meal restaurant refreshing drink lobby lounge
Joglo Mandapa Boutique Hotel and Resto,property located near umy along restaurant smoke free hotel outdoor pool barlounge free wifi public area free valet parking provided amenity include poolside bar meeting room concierge service 11 room offer free wifi balcony patio led tv cable channel room service electric kettle free bottled water among amenity available guest advantage recreation opportunity including outdoor pool bicycle rent additional feature hotel include complimentary wireless internet access concierge service guest catch ride nearby destination area shuttle surcharge featured amenity include complimentary wired internet access complimentary newspaper lobby dry cleaninglaundry service roundtrip airport shuttle provided surcharge available 24 hour free valet parking available onsite 24 hour airport shuttle service available request fee apply contact property advance get detail home one 11 air conditioned room featuring led television room private balcony patio complimentary wireless internet access keep connected cable programming available entertainment private bathroom shower feature complimentary toiletry slipper satisfy appetite lunch dinner cengkeh restaurant restaurant specializes international cuisine stay advantage room service limited hour relax favorite drink barlounge poolside bar buffet breakfast available fee nearby attraction umy 2 9 km 1 8 mi masjid jogokariyan 4 3 km 2 7 mi water castle tamansari 5 km 3 1 mi kampoeng cyber 5 km 3 1 mi gumuling well 5 2 km 3 2 mi batik plentong 5 5 km 3 4 mi alun alun kidul 5 5 km 3 4 mi sasono hinggil 5 6 km 3 5 mi museum kereta kraton 6 2 km 3 8 mi lana gallery 6 2 km 3 9 mi sonobudoyo museum 6 4 km 4 mi kraton complex 6 7 km 4 2 mi palace yogyakarta 7 km 4 4 mi museum sasmitaloka panglima besar jenderal sudirman 7 6 km 4 7 mi pakualaman palace 7 8 km 4 8 mi nearest major airport yogyakarta jog adisucipto intl 18 5 km 11 5 mi
Joglo Plawang Boutique Villa,property located pakem full service spa restaurant outdoor pool available resort free wifi public area free self parking free airport shuttle provided amenity include barlounge coffee shopcaf wifi public area 23 room boast deep soaking tub offer free wifi balcony patio room service coffee r standard lcd tv cable channel pamper visit spa offer massage body treatment looking recreational opportunity find outdoor pool bicycle rent resort feature complimentary wireless internet access concierge service gift shopsnewsstands featured amenity include wired internet access surcharge limotown car service complimentary newspaper lobby roundtrip airport shuttle complimentary available request airport shuttle service available request fee apply contact property advance arrangement early check late check available request subject availability home one 23 air conditioned room featuring lcd television room private balcony patio complimentary wireless internet access keep connected cable programming available entertainment private bathroom deep soaking bathtub complimentary toiletry enjoy international cuisine joglo plawang restaurant restaurant feature bar garden view stay advantage room service limited hour complimentary breakfast included nearby attraction islamic university indonesia 7 6 km 4 7 mi ullen sentalu museum 9 9 km 6 2 mi sleman city hall 10 1 km 6 3 mi merapi golf course 12 9 km 8 mi jogja city mall 13 9 km 8 7 mi yogya kembali monument 15 km 9 3 mi merapi museum 15 5 km 9 6 mi jogja bay 15 7 km 9 8 mi maguwoharjo stadium 16 6 km 10 3 mi malioboro street 16 7 km 10 4 mi yogyakarta monument 16 7 km 10 4 mi bubrah temple 16 8 km 10 4 mi gadjah mada university 16 8 km 10 5 mi hartono mall 17 3 km 10 8 mi yogyakarta state university 17 6 km 10 9 mi nearest airport yogyakarta jog adisucipto intl 22 km 13 6 mi surakarta soc adisumarmo intl 67 8 km 42 1 mi preferred airport joglo plawang boutique villa yogyakarta jog adisucipto intl
Just Eleven,property located near jogja city mall distance displayed nearest 0 1 mile kilometer yogya kembali monument 1 7 km 1 mi jogja city mall 3 4 km 2 1 mi hartono mall 3 6 km 2 2 mi gadjah mada university 3 9 km 2 4 mi yogyakarta state university 4 3 km 2 7 mi yogyakarta monument 5 6 km 3 5 mi malioboro street 5 8 km 3 6 mi kota gede 6 7 km 4 2 mi sunan kalijaga state islamic university yogyakarta 6 9 km 4 3 mi galeria mall 6 9 km 4 3 mi lippo plaza jogja 7 km 4 3 mi jogja bay 7 km 4 4 mi batik museum 7 km 4 4 mi siloam hospital yogyakarta 7 2 km 4 5 mi affandi museum 7 2 km 4 5 mi nearest airport yogyakarta jog adisucipto intl 10 1 km 6 3 mi surakarta soc adisumarmo intl 62 5 km 38 8 mi
